bases	meanCoverage	standardError	Sample	feature
66	0.0810825439783491	0.00142004003787785	group1	Translation end site
67	0.0811096075778078	0.00142025609255412	group1	Translation end site
68	0.0815696887686062	0.00142392187638541	group1	Translation end site
69	0.0813261163734777	0.00142198284633536	group1	Translation end site
70	0.0819215155615697	0.00142671605826696	group1	Translation end site
71	0.0821109607577808	0.00142821738191928	group1	Translation end site
72	0.0821380243572395	0.00142843167240602	group1	Translation end site
73	0.0822462787550744	0.0014292883743803	group1	Translation end site
74	0.0823545331529093	0.00143014434139009	group1	Translation end site
75	0.0823004059539919	0.00142971644967322	group1	Translation end site
76	0.0824357239512855	0.00143078583512054	group1	Translation end site
77	0.082489851150203	0.00143121326861734	group1	Translation end site
78	0.0823815967523681	0.00143035821845899	group1	Translation end site
79	0.0825439783491204	0.00143164051911345	group1	Translation end site
80	0.0828146143437077	0.0014337740323071	group1	Translation end site
81	0.0829228687415426	0.00143462616229208	group1	Translation end site
82	0.0829499323410014	0.00143483908117664	group1	Translation end site
83	0.0829228687415426	0.00143462616229208	group1	Translation end site
84	0.0827063599458728	0.00143292117423424	group1	Translation end site
85	0.0828958051420839	0.0014344131979831	group1	Translation end site
86	0.0831935047361299	0.00143675331036886	group1	Translation end site
87	0.0830581867388363	0.00143569030287465	group1	Translation end site
88	0.0833017591339648	0.00143760290222978	group1	Translation end site
89	0.0834641407307172	0.00143887593613471	group1	Translation end site
90	0.0838159675236806	0.00144162862162027	group1	Translation end site
91	0.0838700947225981	0.0014420514391229	group1	Translation end site
92	0.0842219215155616	0.00144479539908274	group1	Translation end site
93	0.0840324763193505	0.00144331881882676	group1	Translation end site
94	0.0839242219215156	0.00144247407772009	group1	Translation end site
95	0.0840054127198917	0.00144310770051201	group1	Translation end site
96	0.0841948579161028	0.00144458459261811	group1	Translation end site
97	0.0841677943166441	0.00144437374166201	group1	Translation end site
98	0.0840054127198917	0.00144310770051201	group1	Translation end site
99	0.0838430311231394	0.0014418400527446	group1	Translation end site
100	0.0840324763193505	0.00144331881882676	group1	Translation end site
